"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jul 28 16:32:58 CEST 2021","Wed Jul 28 16:32:58 CEST 2021","0","","Functional Testing on Application ","","Functional Testing on Application ","Web Table Sort validation Smoke","Web Table Sort validation Smoke",""
"skipped","Wed Jul 28 16:25:35 CEST 2021","Wed Jul 28 16:25:35 CEST 2021","0","","Ecommerce Application Login","","Ecommerce Application Login","Login Success Page Title Smoke","Login Success Page Title Smoke",""
"broken","Wed Jul 28 16:26:02 CEST 2021","Wed Jul 28 16:26:15 CEST 2021","13097","","Ecommerce Application Login","","Ecommerce Application Login","TestCase: Login Fail Page Title","TestCase: Login Fail Page Title",""
"passed","Wed Jul 28 16:25:55 CEST 2021","Wed Jul 28 16:26:09 CEST 2021","14350","","Ecommerce Application ","","Ecommerce Application ","UI Controls sanity","UI Controls sanity",""
"passed","Wed Jul 28 16:25:20 CEST 2021","Wed Jul 28 16:26:06 CEST 2021","45242","","Ecommerce Application Login","","Ecommerce Application Login","TestCase: End to End","TestCase: End to End",""
"passed","Wed Jul 28 16:25:19 CEST 2021","Wed Jul 28 16:25:35 CEST 2021","16005","","Ecommerce Application Login","","Ecommerce Application Login","Login Fail Page Title","Login Fail Page Title",""
"skipped","Wed Jul 28 16:32:58 CEST 2021","Wed Jul 28 16:32:58 CEST 2021","0","","Functional Testing on Application ","","Functional Testing on Application ","Double click on Button","Double click on Button",""
"passed","Wed Jul 28 16:26:18 CEST 2021","Wed Jul 28 16:26:31 CEST 2021","13003","","Windows and Frames Miscellanous","","Windows and Frames Miscellanous","Frames switch","Frames switch",""
"failed","Wed Jul 28 16:32:58 CEST 2021","Wed Jul 28 16:33:10 CEST 2021","12355","","Functional Testing on Application ","","Functional Testing on Application ","Web Table Filter validation","Web Table Filter validation",""
"passed","Wed Jul 28 16:26:15 CEST 2021","Wed Jul 28 16:26:32 CEST 2021","17354","","Ecommerce Application Login","","Ecommerce Application Login","TestCase: Login Success Page Title","TestCase: Login Success Page Title",""
"skipped","Wed Jul 28 16:32:12 CEST 2021","Wed Jul 28 16:32:12 CEST 2021","0","","Functional Testing on Application ","","Functional Testing on Application ","Web Table Filter validation","Web Table Filter validation",""
"skipped","Wed Jul 28 16:26:38 CEST 2021","Wed Jul 28 16:26:38 CEST 2021","0","","Ecommerce Application ","","Ecommerce Application ","Checkboxes Identification","Checkboxes Identification",""
"skipped","Wed Jul 28 16:32:58 CEST 2021","Wed Jul 28 16:32:58 CEST 2021","2","","Functional Testing on Application ","","Functional Testing on Application ","Scrolling and Mouse Hover","Scrolling and Mouse Hover",""
"passed","Wed Jul 28 16:26:09 CEST 2021","Wed Jul 28 16:26:38 CEST 2021","29020","","Ecommerce Application ","","Ecommerce Application ","Dynamic Dropdown Controls Smoke","Dynamic Dropdown Controls Smoke",""
"skipped","Wed Jul 28 16:26:18 CEST 2021","Wed Jul 28 16:26:18 CEST 2021","0","","Windows and Frames Miscellanous","","Windows and Frames Miscellanous","Parent and Child windows switch","Parent and Child windows switch",""
"failed","Wed Jul 28 16:25:19 CEST 2021","Wed Jul 28 16:26:00 CEST 2021","41131","","Ecommerce Application","","Ecommerce Application","End to End Test","End to End Test",""
